,clim_gamma,clim_c1,clim_c2,clim_c3,clim_kappa1,clim_kappa2,clim_kappa3,clim_epsilon,clim_sigma_eta,clim_sigma_xi,clim_F_4xCO2,cc_r0,cc_rU,cc_rT,cc_rA,ari_BC,ari_OC,ari_Sulfur,ari_NOx,ari_VOC,ari_NH3,ari_CH4,ari_N2O,ari_Equivalent effective stratospheric chlorine,aci_shape_so2,aci_shape_bc,aci_shape_oc,aci_beta,o3_CH4,o3_N2O,o3_Equivalent effective stratospheric chlorine,o3_CO,o3_VOC,o3_NOx,fscale_CH4,fscale_N2O,fscale_minorGHG,fscale_Stratospheric water vapour,fscale_Land use,fscale_Volcanic,fscale_solar_amplitude,fscale_solar_trend,fscale_Light absorbing particles on snow and ice,fscale_Contrails,fscale_CO2,cc_co2_concentration_1750,seed
39007,9.391501367,3.918998027,26.62209204,55.10213749,1.098734637,2.116894215,1.467257056,0.871628293,1.48718504,0.480258326,6.199186509,37.34220462,0.000176988,0.69063015,0.001692391,0.009071487,-0.004551778,-0.002888413,-5.15E-05,-4.41E-05,-0.000546624,-2.35E-06,-2.01E-05,-8.60E-06,0.001703897,0.000338554,2.45E-27,-5.582437238,0.000237993,0.001181354,-0.000196888,0.000178237,0.000244921,0.002994318,0.97994724,1.071333856,1.075729627,0.917253045,0.834380206,0.98804342,1.524903048,0,0.676454062,0,0.885263914,279.7448581,16919556
40686,0.72636623,6.415922159,35.24100439,98.42129013,1.352096981,1.460725411,1.757951695,1.611162104,0.349433739,0.602263948,9.177177973,30.20229219,0.006338502,-0.103209906,0.0045217,0.006972337,-0.004776696,-0.005306415,-7.03E-05,-2.14E-05,-0.000550123,-5.64E-07,-1.68E-05,-6.88E-06,1.15E-07,4.01E-12,5.93E-06,-9007.561565,0.000272988,0.001193202,-0.00010634,3.41E-05,0.000165912,0.001197748,1.027509451,1.116962245,1.097633092,0.979581352,0.849264122,0.86140699,0.438882164,0,0.985130737,0,1.099284378,279.2460339,17589477
44105,5.674435743,3.437855194,22.45934018,130.7389723,1.608677885,2.176549814,1.421556063,1.259472506,1.335373455,0.463105624,6.751108374,32.38077381,0.005157544,1.222363499,0.002298361,0.040186652,-0.002598658,-0.000420677,-7.34E-05,1.40E-05,-0.000569558,-2.49E-06,-2.58E-05,-7.34E-06,0.001173133,0.001430474,4.70E-26,-6.304023442,0.000188582,0.001234299,-0.000100191,0.000205418,-9.64E-06,0.000441627,1.048027987,0.855661389,1.066347026,0.545310273,0.526252945,0.774835933,0.749044004,0,0.126536263,0,0.923663425,277.1148125,18953658
44990,5.53976993,3.183627972,18.94593235,90.31151929,1.277807933,2.673663327,0.89737073,1.20023275,1.014162192,0.412893424,5.340317338,34.02373665,0.003084639,2.955535701,0.001506115,0.015486761,-0.00435011,-0.002933911,-4.97E-05,-1.32E-05,-0.000546309,-3.13E-06,-5.01E-05,-6.38E-06,3.60E-07,4.06E-08,3.66E-06,-5702.027642,0.000297984,0.001548713,-6.46E-05,7.77E-05,6.62E-05,0.001444628,0.882037649,1.019358524,1.030971236,1.129036239,0.822334081,0.904163175,0.806895846,0,0.693600459,0,0.821594869,275.9934028,19306773
46279,13.45615487,3.196912777,23.89254773,98.0410169,1.968717737,3.285448976,1.548700159,1.078997533,1.943063743,0.529352389,9.284027634,27.42817927,0.007595406,6.502729717,-0.001453228,0.017095,-0.005603486,-0.003216426,-7.28E-05,-4.79E-06,-0.000583096,-2.13E-06,-1.57E-05,-7.05E-06,0.087614575,1.42E-44,2.045571526,-0.552722337,0.000251338,0.0013906,-0.00012906,1.95E-05,0.000306221,0.000252581,1.208911919,0.981338269,1.048964518,0.072018786,0.734083295,1.046612365,1.049018573,0,1.121433954,0,1.107329685,279.5086043,19821084
48459,8.96474249,5.166111092,18.72327933,100.3923189,1.784848413,1.201093228,0.95074292,1.373388449,1.006324487,0.50857044,8.328101553,26.45468848,0.009540148,4.726569973,-0.002458213,0.015967694,-0.00407316,-0.000204366,-3.81E-05,-2.53E-05,-0.000552626,-2.00E-06,-2.02E-05,-7.83E-06,0.009307849,0.020052746,0.028968148,-0.822875468,0.000245062,0.00047882,-5.26E-05,0.000121024,0.000122482,0.000761577,1.111703028,0.94528701,0.901852911,1.441841616,1.68055786,0.922623192,1.154520294,0,2.054382971,0,1.038539475,280.6993537,20690904
48850,14.76319504,2.768105259,12.90646335,62.1998456,0.981893417,2.580423542,0.75057926,1.18560733,1.35312261,0.445852982,7.467347511,33.31047807,0.0061762,-0.318099158,0.001322654,0.026236758,-0.003901573,-0.002406681,-7.83E-05,-1.93E-05,-0.000548491,-1.74E-06,-2.83E-05,-6.37E-06,0.007413614,0.568050711,4.52E-11,-0.974257638,0.000175075,0.000860082,-0.00014726,4.29E-05,0.000130198,0.00058177,1.03574898,0.87447606,1.144621079,0.938571245,0.93517934,1.003996487,1.35118765,0,2.221720133,0,0.976635842,277.4262391,20846913
49069,5.600905189,4.325213205,36.72368398,71.58428718,1.256679426,1.224199564,1.572282988,1.273416155,1.029603359,0.62341512,8.009554353,28.78063097,0.004956576,4.466783253,0.001765075,0.044622566,-0.00246405,-3.32E-05,-5.42E-05,2.79E-06,-0.000526431,-2.89E-06,-1.13E-05,-8.49E-06,0.008208171,3.419720638,1.05E-12,-0.997234262,0.000199457,0.000519177,-2.16E-05,9.76E-05,3.12E-05,0.001614802,0.846608017,1.118969608,0.915448201,0.001411608,0.290036768,0.842684278,1.447388715,0,0.891228431,0,1.015713619,279.7058979,20934294
49668,6.047302262,3.536507968,7.179250187,116.9349443,1.549824452,3.772800546,0.577683809,1.215089838,1.238559898,0.313562101,8.23519774,34.80113953,-0.00195538,4.201718888,0.002988596,0.033995486,-0.001291198,-0.001767308,-7.20E-05,-1.06E-05,-0.000599682,-2.07E-06,-3.88E-05,-8.76E-06,3.76E-07,2.04E-10,1.02E-05,-3299.435895,0.000244138,0.001147757,-0.000229206,3.51E-05,0.000254294,0.001295123,0.893547863,1.103539694,1.040146687,0.980818777,0.827869694,0.921228571,0.495348001,0,0.819578264,0,1.031422832,280.0417034,21173295
54542,8.616954684,4.807497254,14.38694705,202.1141332,1.350882244,1.733899168,0.650511425,0.59864011,0.742365579,0.491481947,8.048893697,32.592627,0.008886965,0.603329299,-0.000929589,0.009461175,-0.006870317,-0.00423896,-6.31E-05,-2.47E-05,-0.000533463,-1.94E-06,-2.34E-05,-6.08E-06,0.012807889,18.12222094,4.69E-11,-0.705145574,0.000225479,0.001389657,5.13E-06,4.33E-05,-0.000142916,0.00063794,0.781604272,0.971472323,1.152708424,0.262647545,0.944974621,0.782188339,0.839868417,0,1.673843455,0,1.018471028,276.0050024,23118021
54860,5.108487035,4.139700893,24.55132416,120.1539695,1.783886742,3.101842456,1.496242543,0.961097083,1.132873055,0.677692496,9.113331515,30.80500757,0.00224815,6.591623825,-0.000589879,0.021466272,-0.004470574,-0.00104005,-5.65E-05,-2.11E-05,-0.000533561,-1.55E-06,-6.11E-05,-8.16E-06,0.006226687,109.7380667,7.80E-18,-0.230623131,0.000233469,0.001288643,2.84E-06,0.000163022,-1.09E-05,0.000754201,0.771954833,1.077834342,0.903583254,0.401791939,1.080450411,0.966880064,0.721254019,0,1.120026251,0,1.095185591,280.393689,23244903
56047,6.681791151,5.984855354,15.02094324,109.7345142,1.438735088,1.583093057,0.654944548,1.503354421,0.664784146,0.524783715,9.475958237,37.83679586,-0.001398586,0.257706618,0.00454334,0.011937286,-0.003106871,-0.00228132,-6.45E-05,-1.10E-05,-0.000506327,-9.79E-07,-6.22E-05,-7.27E-06,3.78E-07,8.91E-05,4.46E-07,-1516.087873,0.000233006,0.001303054,-4.50E-05,0.000122382,0.000130432,0.000840995,1.010419564,0.887552071,0.75258675,0.769947359,1.162936833,0.88543496,1.078034092,0,1.196892623,0,1.120549608,277.0670998,23718516
