Year,CO2-BAU,CH4-BAU,N2O-BAU,HFC-BAU,PFC-BAU,SF6-BAU,CO2B-BAU,CH4B-BAU,CO2-S1,CH4-S1,N2O-S1,HFC-S1,PFC-S1,SF6-S1,CO2B-S1,CH4B-S1,CO2-S2,CH4-S2,N2O-S2,HFC-S2,PFC-S2,SF6-S2,CO2B-S2,CH4B-S2,CO2-S3,CH4-S3,N2O-S3,HFC-S3,PFC-S3,SF6-S3,CO2B-S3,CH4B-S3
1808,49.97,781,381.5,0,0,0,890.85,781,49.97,781,381.5,0,0,0,890.85,781,49.97,781,381.5,0,0,0,890.85,781,49.97,781,381.5,0,0,0,890.85,781
1809,49.97,800.55,390.38,0,0,0,911.57,800.55,49.97,800.55,390.38,0,0,0,911.57,800.55,49.97,800.55,390.38,0,0,0,911.57,800.55,49.97,800.55,390.38,0,0,0,911.57,800.55
1810,49.97,820.28,399.27,0,0,0,932.29,820.28,49.97,820.28,399.27,0,0,0,932.29,820.28,49.97,820.28,399.27,0,0,0,932.29,820.28,49.97,820.28,399.27,0,0,0,932.29,820.28
1811,54.97,840.18,408.16,0,0,0,953,840.18,54.97,840.18,408.16,0,0,0,953,840.18,54.97,840.18,408.16,0,0,0,953,840.18,54.97,840.18,408.16,0,0,0,953,840.18
1812,54.97,860.27,417.05,0,0,0,973.72,860.27,54.97,860.27,417.05,0,0,0,973.72,860.27,54.97,860.27,417.05,0,0,0,973.72,860.27,54.97,860.27,417.05,0,0,0,973.72,860.27
1813,54.97,880.55,425.94,0,0,0,994.44,880.55,54.97,880.55,425.94,0,0,0,994.44,880.55,54.97,880.55,425.94,0,0,0,994.44,880.55,54.97,880.55,425.94,0,0,0,994.44,880.55
1814,54.97,901.02,434.84,0,0,0,1015.16,901.02,54.97,901.02,434.84,0,0,0,1015.16,901.02,54.97,901.02,434.84,0,0,0,1015.16,901.02,54.97,901.02,434.84,0,0,0,1015.16,901.02
1815,59.96,921.7,443.74,0,0,0,1035.87,921.7,59.96,921.7,443.74,0,0,0,1035.87,921.7,59.96,921.7,443.74,0,0,0,1035.87,921.7,59.96,921.7,443.74,0,0,0,1035.87,921.7
1816,64.96,942.58,452.63,0,0,0,1056.59,942.58,64.96,942.58,452.63,0,0,0,1056.59,942.58,64.96,942.58,452.63,0,0,0,1056.59,942.58,64.96,942.58,452.63,0,0,0,1056.59,942.58
1817,69.96,963.68,461.54,0,0,0,1077.31,963.68,69.96,963.68,461.54,0,0,0,1077.31,963.68,69.96,963.68,461.54,0,0,0,1077.31,963.68,69.96,963.68,461.54,0,0,0,1077.31,963.68
1818,69.96,985,470.44,0,0,0,1098.03,985,69.96,985,470.44,0,0,0,1098.03,985,69.96,985,470.44,0,0,0,1098.03,985,69.96,985,470.44,0,0,0,1098.03,985
1819,69.96,1006.55,479.34,0,0,0,1118.74,1006.55,69.96,1006.55,479.34,0,0,0,1118.74,1006.55,69.96,1006.55,479.34,0,0,0,1118.74,1006.55,69.96,1006.55,479.34,0,0,0,1118.74,1006.55
1820,69.96,1028.33,488.25,0,0,0,1139.46,1028.33,69.96,1028.33,488.25,0,0,0,1139.46,1028.33,69.96,1028.33,488.25,0,0,0,1139.46,1028.33,69.96,1028.33,488.25,0,0,0,1139.46,1028.33
1821,69.96,1050.35,497.16,0,0,0,1160.18,1050.35,69.96,1050.35,497.16,0,0,0,1160.18,1050.35,69.96,1050.35,497.16,0,0,0,1160.18,1050.35,69.96,1050.35,497.16,0,0,0,1160.18,1050.35
